ticker,shares
LBTYK,605921088
FEYE,221931716
BPL,153988882
KEY,1043116504
AFI,27322715
AAXN,60791865
LLIT,17985340
MOMO,172205321
SGH,23391475
AMNB,9029988
SPR,104306418
VTNR,41478043
MGNX,49180390
AROW,14597989
NVO,1866892038
ARVN,33867431
VLY,335470005
GVA,48259244
EBR.B,268641032
MIST,24927250
TNC,18636400
QTNT,67522756
USPH,13279572
TG,33583327
GLNG,105836288
TURN,31830142
EDN,23096281
ADBE,494694899
TORC,37254233
GTT,56495211
FIS,331940310
BUD,1644077236
KT,509284279
NUV,216113210
IRM,290802134
GCO,17192504
BMRC,13846149
SYNA,35183533
AGCO,77955093
BAND,17234414
ASIX,29372034
RADA,39176079
TROW,245818627
APO,210094722
AMG,52503280
GHG,67875588
BATRK,41361773
TGA,75358321
TTWO,114685247
SAM,8969834
AMSWA,29326648
ASNA,207450704
TPVG,25629133
FSV,37674260
KYN,127729965
RBNC,11667586
MTCH,72480220
WMB,1212264299
TSCO,121116321
GHDX,38101257
GROW,14454016
MDR,188002022
HTBX,34424674
BPOP,98058545
IMTE,2759874
EXPR,69515463
QADA,16697619
BHGE,539718324
MOG.A,33143829
TDC,118464031
SHEN,51195142
EXAS,130462168
HSON,3054488
OTTR,40753761
NVAX,24460580
BRK.B,1394924817
PBI,183952234
MLHR,59909621
VEEV,135620993
CTWS,12151794
MHN,32495758
SHOS,23232460
OZK,132799880
UROV,30961438
EYPT,109326728
GFED,4597768
CPAH,6230654
LXP,235544108
FLC,10235985
SPGI,249097589
QUOT,96065485
EVFM,28642401
KOF,53635288
PBA,511582774
BBN,57397612
THRM,35133917
FNSR,119935510
PRNB,24924323
NICK,8301385
COLL,34414391
GSX,128087219
ALB,110045732
UMH,39642580
BNFT,33669358
AXGN,39818975
EVSI,2910422
CLLS,44236826
TXN,938373328
CASS,14919555
IIIN,19450416
SSYS,54996826
ASUR,16068325
EFF,7870602
KNDI,53427954
CARS,67341699
MDT,1344667511
HUYA,46410888
MTT,12695770
BCLI,21877166
RNDB,5927206
EWBC,147578824
SMFG,7011356502
CLDR,274290257
CAC,15541592
AC,3628233
HLIT,90140098
ARDC,23882716
CNBKA,3742216
IART,87339142
SIGI,62163144
NNBR,42963422
FB,2449563292
OBNK,24928608
CEIX,28161314
PBPB,24120019
HII,41768918
SKX,136916306
BLDR,115902557
MRIN,6306742
TSBK,8478046
XHR,113805318
AQST,25141832
NSYS,2699426
IVZ,405592798
SUM,114344100
CRTX,27824268
EFII,43848971
HSDT,26747705
XNCR,59160456
LAMR,89459719
CRT,6009777
UVV,25083902
SMTA,43523559
TGT,523198582
DXPE,17889506
MPW,410121059
CAF,22684876
CPAC,88949643
DRQ,36982915
TATT,9252367
AMTBB,55885699
MIC,88510665
ODT,28062849
BCE,906097143
NVEC,5051196
FHN,321247294
DJCO,1387194
MSON,9721955
LCNB,13543860
UBFO,17213454
RNET,19884978
TMHC,109010396
BTAI,15817390
UHAL,19749245
CCB,12282383
MITO,5903519
ARAV,11361985
HUM,140485207
NSC,276566849
CVV,6616330
CLSD,38699061
AXE,34938528
CCO,50624892
PATI,3415174
TECD,37801373
MUC,41817723
CLWT,2124430
MSBI,24764971
FNCB,20187914
CMCM,42572837
ALGT,16677860
TRVG,45341569
JNPR,348326729
CNX,202202340
GBLI,10397288
ROCK,33025193
CHNR,25406350
GHSI,23144080
KVHI,18115275
HRC,67987133
SP,23420107
CZWI,11468048
MET,959978265
INTC,4636263269
OOMA,21596960
AIN,30881406
GMS,42159775
YI,46247464
UA,231417797
WABC,27261148
FSLR,109236580
PBIP,9302772
PHI,226704500
OCN,137040903
UEPS,59271214
BLMN,93171337
SYBT,22940781
MFNC,11049693
DHI,384749545
SRRA,78181161
TEUM,114340287
MUFG,13081399259
EBF,27289129
TWLO,121817429
IRS,60380425
MAA,117148967
XPER,51294669
EQIX,87364942
NTR,604921368
AKTX,16234596
